 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *                                                                      *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)...............  0
 No. of observations.................(NOBb).............1529


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.031
 Saturated moisture content..........(WCS)............     0.338
 First coefficient...................(ALPHA)..........     0.020
 Second coefficient..................(N)..............     1.424
 Saturated conductivity..............(CONDS).......... .1337E+01
 Pore connectivity factor............(L)..............     0.500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
     1    721.000      0.093       2     1      1.000000
     2    722.000      0.093       2     1      1.000000
     3    723.000      0.092       2     1      1.000000
     4    724.000      0.092       2     1      1.000000
     5    725.000      0.091       2     1      1.000000
     6    726.000      0.091       2     1      1.000000
     7    727.000      0.091       2     1      1.000000
     8    728.000      0.092       2     1      1.000000
     9    729.000      0.095       2     1      1.000000
    10    730.000      0.098       2     1      1.000000
    11    731.000      0.100       2     1      1.000000
    12    732.000      0.101       2     1      1.000000
    13    733.000      0.101       2     1      1.000000
    14    734.000      0.102       2     1      1.000000
    15    735.000      0.096       2     1      1.000000
    16    736.000      0.094       2     1      1.000000
    17    737.000      0.095       2     1      1.000000
    18    738.000      0.093       2     1      1.000000
    19    739.000      0.091       2     1      1.000000
    20    740.000      0.200       2     1      1.000000
    21    741.000      0.217       2     1      1.000000
    22    742.000      0.203       2     1      1.000000
    23    743.000      0.196       2     1      1.000000
    24    744.000      0.192       2     1      1.000000
    25    745.000      0.188       2     1      1.000000
    26    746.000      0.185       2     1      1.000000
    27    747.000      0.183       2     1      1.000000
    28    748.000      0.182       2     1      1.000000
    29    749.000      0.180       2     1      1.000000
    30    750.000      0.179       2     1      1.000000
    31    751.000      0.177       2     1      1.000000
    32    752.000      0.176       2     1      1.000000
    33    753.000      0.175       2     1      1.000000
    34    754.000      0.175       2     1      1.000000
    35    755.000      0.172       2     1      1.000000
    36    756.000      0.168       2     1      1.000000
    37    757.000      0.162       2     1      1.000000
    38    758.000      0.157       2     1      1.000000
    39    759.000      0.157       2     1      1.000000
    40    760.000      0.151       2     1      1.000000
    41    761.000      0.148       2     1      1.000000
    42    762.000      0.148       2     1      1.000000
    43    763.000      0.145       2     1      1.000000
    44    764.000      0.140       2     1      1.000000
    45    765.000      0.138       2     1      1.000000
    46    766.000      0.136       2     1      1.000000
    47    767.000      0.134       2     1      1.000000
    48    768.000      0.133       2     1      1.000000
    49    769.000      0.133       2     1      1.000000
    50    770.000      0.132       2     1      1.000000
    51    771.000      0.132       2     1      1.000000
    52    772.000      0.132       2     1      1.000000
    53    773.000      0.131       2     1      1.000000
    54    774.000      0.130       2     1      1.000000
    55    775.000      0.130       2     1      1.000000
    56    776.000      0.131       2     1      1.000000
    57    777.000      0.133       2     1      1.000000
    58    778.000      0.135       2     1      1.000000
    59    779.000      0.178       2     1      1.000000
    60    780.000      0.222       2     1      1.000000
    61    781.000      0.210       2     1      1.000000
    62    782.000      0.203       2     1      1.000000
    63    783.000      0.198       2     1      1.000000
    64    784.000      0.194       2     1      1.000000
    65    785.000      0.186       2     1      1.000000
    66    786.000      0.178       2     1      1.000000
    67    787.000      0.173       2     1      1.000000
    68    788.000      0.169       2     1      1.000000
    69    789.000      0.166       2     1      1.000000
    70    790.000      0.164       2     1      1.000000
    71    791.000      0.163       2     1      1.000000
    72    792.000      0.163       2     1      1.000000
    73    793.000      0.161       2     1      1.000000
    74    794.000      0.161       2     1      1.000000
    75    795.000      0.161       2     1      1.000000
    76    796.000      0.160       2     1      1.000000
    77    797.000      0.160       2     1      1.000000
    78    798.000      0.159       2     1      1.000000
    79    799.000      0.158       2     1      1.000000
    80    800.000      0.159       2     1      1.000000
    81    801.000      0.160       2     1      1.000000
    82    802.000      0.159       2     1      1.000000
    83    803.000      0.157       2     1      1.000000
    84    804.000      0.151       2     1      1.000000
    85    805.000      0.146       2     1      1.000000
    86    806.000      0.142       2     1      1.000000
